SalePrice,SqFtTotLiving,Latitude,Longitude,SqFt2ndFloor,YrBuilt,SqFtFinBasement,SqFtDeck,SqFtGarageBasement,BrickStone,SqFtOpenPorch
749000,2080,47.6949839,-122.2962255,0,1966,770,220,430,0,0
432000,2220,47.491949,-122.3373461,1040,2015,540,60,0,0,90
650000,1290,47.6780209,-122.3510254,0,1923,260,150,0,0,50
550000,1190,47.6614123,-122.1328798,0,1973,0,200,0,0,0
710000,1660,47.6018483,-122.2970306,500,2017,560,160,0,0,30
699000,1050,47.6855197,-122.3933377,0,1937,0,0,0,0,0
875000,3260,47.5444616,-122.1253883,1140,1981,1060,250,0,0,0
578900,2300,47.516317,-122.349295,1350,2019,0,100,0,0,90
329950,1200,47.3780208,-122.3060338,0,1958,0,0,0,0,0
400000,3240,47.3220232,-122.3692482,0,1964,1440,180,0,0,230
495000,1560,47.5256617,-122.3607657,610,2007,340,50,210,0,0
549000,1230,47.556957,-122.381915,410,2018,0,360,0,0,0
1350000,2800,47.6804956,-122.2726567,0,1951,1210,150,380,100,0
719950,1535,47.6862543,-122.3771005,511,2018,0,0,0,0,0
560000,1360,47.565486,-122.3661482,460,2018,0,240,0,0,0
974950,1810,47.6571648,-122.3616034,590,2019,560,510,0,0,130
280000,1840,47.2842059,-122.1950462,0,1968,0,0,0,0,0
750000,2180,47.5714854,-122.1303292,1060,1979,0,240,0,0,0
715000,1780,47.577021,-122.4123258,570,2018,570,420,0,0,20
390000,2690,47.4714554,-122.3574984,0,1916,760,0,0,0,200
680000,1930,47.7731815,-122.3022723,800,2019,330,50,450,0,0
1294950,3700,47.7028909,-122.108367,1800,2019,0,110,0,0,70
399500,1320,47.7709318,-122.3147419,0,1962,0,0,0,0,0
940000,2600,47.62347,-122.0944336,1040,1966,0,0,0,0,290
171000,830,47.4595239,-122.1885764,0,1958,0,0,0,0,0
550000,1090,47.6354743,-122.390615,0,1920,200,0,0,0,100
733878,3840,47.4960751,-122.1460997,1610,2016,860,140,0,0,50
516950,2630,47.3148469,-122.267885,1230,1982,0,370,0,0,70
615000,1440,47.7128878,-122.2868986,0,1951,190,160,240,0,0
715000,1130,47.7215193,-122.2180306,0,1970,310,170,0,0,0
395000,1440,47.4888079,-122.336607,0,1951,180,220,600,0,0
530000,1780,47.7731366,-122.3516417,0,1952,600,110,0,15,0
500000,1020,47.5563089,-122.2897179,0,1901,0,0,0,0,40
599950,1610,47.6871558,-122.3985468,0,1947,270,0,0,0,0
776950,3188,47.435811,-122.1591822,1477,2019,0,0,0,0,25
714995,3490,47.4760795,-122.1220265,2010,2016,0,0,0,0,300
60000,670,47.4368264,-122.3291612,0,1943,0,0,0,0,60
517000,1870,47.5510146,-122.2818177,0,1962,660,70,240,30,0
705000,1200,47.6004271,-122.3063243,540,2018,140,470,0,0,20
382000,2210,47.3249107,-122.3268513,0,1978,570,400,350,0,170
505000,2180,47.4412776,-122.1519909,0,1964,710,210,760,0,0
399900,1650,47.3676388,-122.311941,0,1962,570,110,0,0,0
484950,2334,47.3520806,-122.1380918,1350,2018,0,0,0,0,198
800000,2300,47.6719063,-122.1515991,0,1968,1140,0,0,0,110
495000,1260,47.6715104,-122.1561129,0,1963,0,0,0,100,0
980000,1780,47.6193319,-122.2975783,550,2018,0,510,0,0,0
439000,2080,47.3071042,-122.2774829,0,1961,760,260,0,0,90
570000,1780,47.7239459,-122.2894829,0,1978,660,140,400,0,0
471000,2950,47.4526778,-122.1265266,0,1980,1110,440,270,0,0
707000,2060,47.6900333,-122.1122433,900,1977,0,0,0,0,0
373500,1780,47.2818625,-122.3520187,0,1964,0,0,0,0,130
605000,870,47.6893345,-122.3695697,0,1948,100,0,160,0,0
635000,2440,47.7360963,-122.3043185,0,1968,1220,300,0,0,0
140000,2210,47.3094523,-122.2033135,0,1966,0,0,0,0,40
890000,1300,47.6200599,-122.2978668,500,2017,300,440,0,0,0
350000,1540,47.3304531,-122.373229,770,1974,0,320,0,0,0
276000,940,47.4978329,-122.3368385,0,1961,0,0,0,0,0
675000,1430,47.6639608,-122.2749685,0,1954,480,300,0,0,0
775000,1040,47.6484658,-122.359485,0,1912,0,0,0,0,250
550000,1940,47.6294538,-122.1213992,950,1966,0,0,0,0,150
420000,1940,47.4946,-122.1328212,0,1966,0,0,0,0,0
